max_lat,min_lat,max_lon,min_lon,start_year,end_year,resolution,file_name
90,30,-120,-180,2011,2020,day,file_0.nc
90,30,-120,-180,2011,2020,month,file_1.nc
90,30,-120,-180,2011,2020,year,file_2.nc
90,30,-120,-180,2001,2010,month,file_3.nc
90,30,-120,-180,2001,2010,year,file_4.nc
90,30,-60,-120,2011,2020,day,file_5.nc
90,30,-60,-120,2011,2020,month,file_6.nc
90,30,-60,-120,2011,2020,year,file_7.nc
90,30,-60,-120,2001,2010,month,file_8.nc
90,30,-60,-120,2001,2010,year,file_9.nc
90,30,0,-60,2011,2020,day,file_10.nc
90,30,0,-60,2011,2020,month,file_11.nc
90,30,0,-60,2011,2020,year,file_12.nc
90,30,0,-60,2001,2010,month,file_13.nc
90,30,0,-60,2001,2010,year,file_14.nc
90,30,60,0,2011,2020,day,file_15.nc
90,30,60,0,2011,2020,month,file_16.nc
90,30,60,0,2011,2020,year,file_17.nc
90,30,60,0,2001,2010,month,file_18.nc
90,30,60,0,2001,2010,year,file_19.nc
90,30,120,60,2011,2020,day,file_20.nc
90,30,120,60,2011,2020,month,file_21.nc
90,30,120,60,2011,2020,year,file_22.nc
90,30,120,60,2001,2010,month,file_23.nc
90,30,120,60,2001,2010,year,file_24.nc
90,30,180,120,2011,2020,day,file_25.nc
90,30,180,120,2011,2020,month,file_26.nc
90,30,180,120,2011,2020,year,file_27.nc
90,30,180,120,2001,2010,month,file_28.nc
90,30,180,120,2001,2010,year,file_29.nc
30,-30,-120,-180,2011,2020,month,file_30.nc
30,-30,-120,-180,2011,2020,year,file_31.nc
30,-30,-120,-180,2001,2010,year,file_32.nc
30,-30,-60,-120,2011,2020,month,file_33.nc
30,-30,-60,-120,2011,2020,year,file_34.nc
30,-30,-60,-120,2001,2010,year,file_35.nc
30,-30,0,-60,2011,2020,month,file_36.nc
30,-30,0,-60,2011,2020,year,file_37.nc
30,-30,0,-60,2001,2010,year,file_38.nc
30,-30,60,0,2011,2020,month,file_39.nc
30,-30,60,0,2011,2020,year,file_40.nc
30,-30,60,0,2001,2010,year,file_41.nc
30,-30,120,60,2011,2020,month,file_42.nc
30,-30,120,60,2011,2020,year,file_43.nc
30,-30,120,60,2001,2010,year,file_44.nc
30,-30,180,120,2011,2020,month,file_45.nc
30,-30,180,120,2011,2020,year,file_46.nc
30,-30,180,120,2001,2010,year,file_47.nc
-30,-90,-120,-180,2011,2020,month,file_48.nc
-30,-90,-120,-180,2011,2020,year,file_49.nc
-30,-90,-120,-180,2001,2010,year,file_50.nc
-30,-90,-60,-120,2011,2020,month,file_51.nc
-30,-90,-60,-120,2011,2020,year,file_52.nc
-30,-90,-60,-120,2001,2010,year,file_53.nc
-30,-90,0,-60,2011,2020,month,file_54.nc
-30,-90,0,-60,2011,2020,year,file_55.nc
-30,-90,0,-60,2001,2010,year,file_56.nc
-30,-90,60,0,2011,2020,month,file_57.nc
-30,-90,60,0,2011,2020,year,file_58.nc
-30,-90,60,0,2001,2010,year,file_59.nc
-30,-90,120,60,2011,2020,month,file_60.nc
-30,-90,120,60,2011,2020,year,file_61.nc
-30,-90,120,60,2001,2010,year,file_62.nc
-30,-90,180,120,2011,2020,month,file_63.nc
-30,-90,180,120,2011,2020,year,file_64.nc
-30,-90,180,120,2001,2010,year,file_65.nc
